Date,HDFCBANK,ICICIBANK
2015-01-01,435.5518798828125,296.2926025390625
2015-01-02,441.6136169433594,304.7027893066406
2015-01-05,437.8850402832031,305.3335266113281
2015-01-06,431.0685119628906,292.38177490234375
2015-01-07,432.3266296386719,284.47625732421875
2015-01-08,441.4077453613281,292.2136535644531
2015-01-09,446.3486328125,287.50384521484375
2015-01-12,442.4141845703125,291.4566345214844
2015-01-13,440.72149658203125,286.70489501953125
2015-01-14,440.9731140136719,283.3408508300781
2015-01-15,454.35467529296875,296.755126953125
2015-01-16,458.1060791015625,297.5961608886719
2015-01-19,459.5700378417969,303.4412536621094
2015-01-20,467.0728454589844,309.286376953125
2015-01-21,466.6153564453125,309.8750915527344
2015-01-22,467.2100524902344,311.010498046875
2015-01-23,477.0690002441406,311.767333984375
2015-01-27,491.3654479980469,322.532470703125
2015-01-28,484.18292236328125,322.99505615234375
2015-01-29,500.949951171875,319.8411865234375
2015-01-30,492.8751525878906,303.357177734375
2015-02-02,494.8194885253906,295.9140930175781
2015-02-03,486.81353759765625,291.4987487792969
2015-02-04,488.46038818359375,289.85870361328125
2015-02-05,492.486328125,282.2474365234375
2015-02-06,481.9640808105469,276.9910888671875
2015-02-09,475.8337707519531,269.1695861816406
2015-02-10,482.3986511230469,278.42083740234375
2015-02-11,484.205810546875,281.49053955078125
2015-02-12,492.257568359375,285.23309326171875
2015-02-13,487.5912780761719,289.1859130859375
2015-02-16,488.3918151855469,284.3080139160156
2015-02-18,491.70867919921875,287.9664306640625
2015-02-19,493.9960021972656,284.72845458984375
2015-02-20,490.907958984375,278.33673095703125
2015-02-23,488.3689270019531,276.6967468261719
2015-02-24,488.43756103515625,274.2156982421875
2015-02-25,481.4837341308594,271.2301025390625
2015-02-26,474.941650390625,270.2208251953125
2015-02-27,482.1929016113281,281.9530944824219
2015-03-02,495.25421142578125,293.5592346191406
2015-03-03,495.62017822265625,293.2228088378906
2015-03-04,487.3624572753906,293.8115539550781
2015-03-05,496.4207458496094,292.46588134765625
2015-03-09,484.48028564453125,279.8926086425781
2015-03-10,481.5295715332031,280.60748291015625
2015-03-11,483.31365966796875,279.7664489746094
2015-03-12,482.4673767089844,284.43414306640625
2015-03-13,477.0003662109375,277.7059631347656
2015-03-16,481.07196044921875,278.75726318359375
2015-03-17,484.0456237792969,281.61669921875
2015-03-18,486.5618896484375,281.57464599609375
2015-03-19,481.3694152832031,277.7059631347656
2015-03-20,483.0620422363281,267.9500732421875
2015-03-23,479.33355712890625,263.9131774902344
2015-03-24,474.85009765625,262.315185546875
2015-03-25,473.1574401855469,266.52032470703125
2015-03-26,460.6679992675781,258.99322509765625
2015-03-27,464.19073486328125,264.5439453125
2015-03-30,474.36981201171875,268.0341491699219
2015-03-31,467.8733825683594,265.3428955078125
2015-04-01,472.6999816894531,271.7767639160156
2015-04-06,472.1051940917969,270.1787414550781
2015-04-07,472.4712219238281,266.9408264160156
2015-04-08,473.752197265625,265.0065002441406
2015-04-09,483.153564453125,269.63214111328125
2015-04-10,477.0003662109375,267.69775390625
2015-04-13,475.2390441894531,266.52032470703125
2015-04-15,471.9679870605469,264.9223937988281
2015-04-16,471.0530090332031,262.81982421875
2015-04-17,465.83758544921875,260.8013610839844
2015-04-20,459.8216247558594,261.6844482421875
2015-04-21,458.8609313964844,261.43218994140625
2015-04-22,463.4815673828125,263.1982727050781
2015-04-23,463.66455078125,262.27313232421875
2015-04-24,460.43927001953125,259.2454528808594
2015-04-27,459.9818420410156,254.2414093017578
2015-04-28,459.5700378417969,274.88848876953125
2015-04-29,454.35467529296875,277.6638488769531
2015-04-30,452.3645935058594,278.5049133300781
2015-05-04,457.92303466796875,276.94903564453125
2015-05-05,451.83843994140625,276.23406982421875
2015-05-06,444.038330078125,262.5254821777344
2015-05-07,435.208740234375,256.17578125
2015-05-08,449.2536315917969,266.6044616699219
2015-05-11,453.0508117675781,272.0710754394531
2015-05-12,444.65594482421875,259.2034606933594
2015-05-13,453.0279235839844,267.151123046875
2015-05-14,453.3939514160156,264.88031005859375
2015-05-15,452.9593200683594,262.6936950683594
2015-05-18,461.9947509765625,265.97369384765625
2015-05-19,460.9425048828125,265.2167053222656
2015-05-20,468.4910888671875,268.0762023925781
2015-05-21,468.7884216308594,263.7029113769531
2015-05-22,468.6054992675781,263.7449645996094
2015-05-25,468.2623291015625,262.5254821777344
2015-05-26,470.02362060546875,260.4649353027344
2015-05-27,474.941650390625,263.36651611328125
2015-05-28,470.93865966796875,264.50189208984375
2015-05-29,480.6145324707031,266.8146667480469
2015-06-01,474.0495300292969,266.1418762207031
2015-06-02,461.5143737792969,256.0916442871094
2015-06-03,460.0274963378906,248.7327117919922
2015-06-04,464.32794189453125,248.17660522460938
2015-06-05,462.86395263671875,243.043701171875
2015-06-08,459.0667724609375,242.23097229003906
2015-06-09,458.3348388671875,245.61013793945312
2015-06-10,464.6252746582031,250.22976684570312
2015-06-11,457.5799560546875,246.80784606933594
2015-06-12,461.67449951171875,253.1811981201172
2015-06-15,459.867431640625,255.96153259277344
2015-06-16,461.3314208984375,258.3997497558594
2015-06-17,459.638671875,257.80084228515625
2015-06-18,466.4552001953125,259.5118103027344
2015-06-19,471.44189453125,260.5383605957031
2015-06-22,479.05908203125,269.5210266113281
2015-06-23,481.3236389160156,268.19500732421875
2015-06-24,478.44146728515625,271.830810546875
2015-06-25,487.22515869140625,269.3070983886719
2015-06-26,486.2416076660156,266.6551208496094
2015-06-29,483.4051818847656,266.2273864746094
2015-06-30,488.20880126953125,263.4898376464844
