Date,HDFCBANK,ICICIBANK,Predicted_HDFCBANK,Actual_HDFCBANK,Prediction_Error
2022-12-27,1573.5716552734375,885.6724243164062,1477.7511657714845,1573.5716552734375,95.82048950195303
2022-12-28,1572.3175048828125,884.000732421875,1445.2991564941406,1572.3175048828125,127.01834838867194
2022-12-29,1583.411865234375,892.9493408203125,1428.1833715820312,1583.411865234375,155.2284936523438
2022-12-30,1570.7255859375,876.0353393554688,1522.8205993652343,1570.7255859375,47.90498657226567
2023-01-02,1571.256103515625,887.4425048828125,1534.92162109375,1571.256103515625,36.33448242187501
2023-01-03,1581.5306396484375,886.3607788085938,1477.2408227539063,1581.5306396484375,104.28981689453121
2023-01-04,1553.26416015625,884.148193359375,1448.2367407226564,1553.26416015625,105.02741943359365
2023-01-05,1543.2791748046875,864.5299682617188,1460.789334716797,1543.2791748046875,82.48984008789057
2023-01-06,1538.166015625,855.6304321289062,1395.9531091308593,1538.166015625,142.21290649414073
2023-01-09,1541.15673828125,858.8263549804688,1423.2279736328126,1541.15673828125,117.92876464843744
2023-01-10,1512.986572265625,847.0259399414062,1379.6052990722656,1512.986572265625,133.38127319335945
2023-01-11,1534.7894287109375,851.8936157226562,1391.346083984375,1534.7894287109375,143.4433447265626
2023-01-12,1542.9896240234375,846.337646484375,1390.158974609375,1542.9896240234375,152.83064941406246
2023-01-13,1544.1956787109375,858.9248046875,1422.6568811035156,1544.1956787109375,121.53879760742188
2023-01-16,1529.3870849609375,850.8611450195312,1404.1746142578124,1529.3870849609375,125.21247070312506
2023-01-17,1552.154541015625,850.7628173828125,1405.1774462890626,1552.154541015625,146.97709472656243
2023-01-18,1579.552978515625,855.0404052734375,1393.819129638672,1579.552978515625,185.73384887695306
2023-01-19,1586.1131591796875,851.7461547851562,1390.654373779297,1586.1131591796875,195.45878540039052
2023-01-20,1602.3687744140625,855.8762817382812,1418.3748901367187,1602.3687744140625,183.9938842773438
2023-01-23,1614.09033203125,857.203857421875,1416.317166748047,1614.09033203125,197.77316528320307
2023-01-24,1635.7001953125,856.2696533203125,1399.8193359375,1635.7001953125,235.880859375
2023-01-25,1590.5025634765625,841.0765380859375,1376.96109375,1590.5025634765625,213.54146972656258
2023-01-27,1558.8111572265625,803.6101684570312,1439.7057055664063,1558.8111572265625,119.10545166015618
2023-01-30,1557.2193603515625,809.805419921875,1533.88689453125,1557.2193603515625,23.332465820312564
2023-01-31,1546.945068359375,818.0657348632812,1446.82900390625,1546.945068359375,100.11606445312509
2023-02-01,1570.14697265625,833.8488159179688,1372.8956201171875,1570.14697265625,197.2513525390625
2023-02-02,1546.80029296875,843.6333618164062,1418.3205505371093,1546.80029296875,128.47974243164072
2023-02-03,1600.2945556640625,849.4351806640625,1401.7980053710937,1600.2945556640625,198.49655029296878
2023-02-06,1593.4932861328125,839.503173828125,1357.6321643066406,1593.4932861328125,235.86112182617194
2023-02-07,1595.8568115234375,838.5690307617188,1376.9026965332032,1595.8568115234375,218.9541149902343
2023-02-08,1595.663818359375,844.8133544921875,1416.4243383789062,1595.663818359375,179.2394799804688
2023-02-09,1592.335693359375,846.485107421875,1390.158974609375,1592.335693359375,202.17671874999996
2023-02-10,1598.654541015625,839.650634765625,1357.6321643066406,1598.654541015625,241.02237670898444
2023-02-13,1599.8604736328125,836.50390625,1363.6926147460938,1599.8604736328125,236.1678588867187
2023-02-14,1614.6690673828125,850.9102783203125,1404.1746142578124,1614.6690673828125,210.49445312500006
2023-02-15,1611.3890380859375,856.3187866210938,1399.8193359375,1611.3890380859375,211.5697021484375
2023-02-16,1605.552490234375,854.9912719726562,1394.4370471191405,1605.552490234375,211.11544311523448
2023-02-17,1597.4969482421875,848.3043823242188,1381.5300170898438,1597.4969482421875,215.9669311523437
2023-02-20,1582.4952392578125,837.9297485351562,1392.2066674804687,1582.4952392578125,190.2885717773438
2023-02-21,1588.428466796875,839.9949340820312,1360.0830786132813,1588.428466796875,228.34538818359374
2023-02-22,1557.267578125,825.29345703125,1446.0458276367187,1557.267578125,111.22175048828126
2023-02-23,1546.703857421875,825.78515625,1444.5252319335937,1546.703857421875,102.17862548828134
2023-02-24,1532.908203125,825.7360229492188,1444.5252319335937,1532.908203125,88.38297119140634
2023-02-27,1536.718994140625,842.1582641601562,1380.7230639648437,1536.718994140625,155.99593017578127
2023-02-28,1543.1826171875,840.634033203125,1376.96109375,1543.1826171875,166.22152343750008
2023-03-01,1541.6873779296875,842.0599365234375,1380.7230639648437,1541.6873779296875,160.96431396484377
2023-03-02,1528.56689453125,839.7981567382812,1357.6321643066406,1528.56689453125,170.93473022460944
2023-03-03,1558.9075927734375,854.106201171875,1371.9608728027345,1558.9075927734375,186.94671997070304
2023-03-06,1569.9056396484375,853.3195190429688,1389.0480932617188,1569.9056396484375,180.8575463867187
2023-03-08,1573.0411376953125,857.59716796875,1420.008212890625,1573.0411376953125,153.03292480468758
2023-03-09,1573.1856689453125,841.7157592773438,1376.96109375,1573.1856689453125,196.22457519531258
2023-03-10,1532.618896484375,828.6370239257812,1365.575477294922,1532.618896484375,167.04341918945306
2023-03-13,1513.227783203125,814.6239624023438,1557.1745056152345,1513.227783203125,-43.946722412109466
2023-03-14,1509.17578125,816.54150390625,1515.8465344238282,1509.17578125,-6.670753173828189
2023-03-15,1487.5177001953125,812.16552734375,1562.215115966797,1487.5177001953125,-74.69741577148443
2023-03-16,1497.1649169921875,810.1987915039062,1533.88689453125,1497.1649169921875,-36.721977539062436
2023-03-17,1517.18310546875,822.3433837890625,1517.6836657714844,1517.18310546875,-0.5005603027343568
